key,status,url,message,file
rfc9000,downloaded,https://www.rfc-editor.org/rfc/rfc9000.pdf,downloaded,OfficialSources/rfc9000__QUIC_A_UDP-Based_Multiplexed_and_Secure_Transport.pdf
moqtransport2026,downloaded,https://www.ietf.org/archive/id/draft-ietf-moq-transport-18.txt,downloaded,OfficialSources/moqtransport2026__Media_over_QUIC_Transport.txt
curley2026moqprobe,downloaded,https://www.ietf.org/archive/id/draft-lcurley-moq-probe-00.html,downloaded,OfficialSources/curley2026moqprobe__MoQ_Probe_Extension.html
amirante2025server,manual,https://www.techrxiv.org/doi/10.36227/techrxiv.175416838.87948493,unresolved_needs_manual_verification,OfficialSources/manual_links/amirante2025server__Server-side_Bandwidth_Estimation_in_the_WebRTC_Ecosystem.url.txt
de2013experimental,manual,https://doi.org/10.1145/2491172.2491182,official_landing_or_possible_access_pdf,OfficialSources/manual_links/de2013experimental__Experimental_investigation_of_the_google_congestion_control_for_real-time_flows.url.txt
carlucci2016analysis,manual,https://doi.org/10.1145/2910017.2910605,official_landing_or_possible_access_pdf,OfficialSources/manual_links/carlucci2016analysis__Analysis_and_design_of_the_google_congestion_control_for_web_real-time_communica.url.txt
yadav2021playing,manual,https://doi.org/10.1145/3458305.3463376,official_landing_or_possible_access_pdf,OfficialSources/manual_links/yadav2021playing__Playing_chunk-transferred_DASH_segments_at_low_latency_with_QLive.url.txt
sun2016cs2p,manual,https://doi.org/10.1145/2934872.2934898,official_landing_or_possible_access_pdf,OfficialSources/manual_links/sun2016cs2p__CS2P_Improving_video_bitrate_selection_and_adaptation_with_data-driven_throughp.url.txt
shende2023cross,manual,https://doi.org/10.1145/3587819.3590990,official_landing_or_possible_access_pdf,OfficialSources/manual_links/shende2023cross__Cross-layer_network_bandwidth_estimation_for_low-latency_live_abr_streaming.url.txt
chen2025enhanced,manual,https://doi.org/10.1109/INFOCOM55648.2025.11044628,official_landing_or_possible_access_pdf,OfficialSources/manual_links/chen2025enhanced__Enhanced_Bandwidth_Measurement_and_Robust_Rate_Adaptation_for_Low-latency_Live_S.url.txt
sidhu2026video,manual,https://doi.org/10.1145/3793674,official_landing_or_possible_access_pdf,OfficialSources/manual_links/sidhu2026video__Video_streaming_over_QUIC_A_comprehensive_study.url.txt
sidhu2025caq,manual,https://doi.org/10.1145/3712678.3721875,official_landing_or_possible_access_pdf,OfficialSources/manual_links/sidhu2025caq__CAQ_Connection-Aware_Adaptive_QUIC_Configurations_for_Enhanced_Video_Streaming.url.txt
gurel2023need,manual,https://doi.org/10.1145/3588444.3591033,official_landing_or_possible_access_pdf,OfficialSources/manual_links/gurel2023need__Need_for_low_latency_Media_over_QUIC.url.txt
gurel2023media,manual,https://doi.org/10.1145/3587819.3593937,official_landing_or_possible_access_pdf,OfficialSources/manual_links/gurel2023media__Media_over_QUIC_Initial_Testing_Findings_and_Results.url.txt
gurel2023sports,manual,https://doi.org/10.5594/JMI.2024/EDTJ6242,official_landing_or_possible_access_pdf,OfficialSources/manual_links/gurel2023sports__A_Fresh_Look_at_Live_Sports_Streaming_with_Prioritized_Media-over-QUIC_Transport.url.txt
gurel2024media,manual,https://doi.org/10.1145/3625468.3652191,official_landing_or_possible_access_pdf,OfficialSources/manual_links/gurel2024media__Media-over-QUIC_transport_vs._low-latency_DASH_a_deathmatch_testbed.url.txt
gurel2024commag,manual,,unresolved_needs_manual_verification,OfficialSources/manual_links/gurel2024commag__Media_Delivery_over_QUIC_Opportunities_and_Challenges.url.txt
dwijaksara2024rate,manual,https://doi.org/10.1109/ACCESS.2024.3466468,official_landing_or_possible_access_pdf,OfficialSources/manual_links/dwijaksara2024rate__Rate_adaptation_technique_for_media_streaming_over_quic_with_limited_backhaul.url.txt
suarez2025pulsequic,manual,https://doi.org/10.1145/3746441.3748232,official_landing_or_possible_access_pdf,OfficialSources/manual_links/suarez2025pulsequic__PulseQUIC_Enhancing_QUIC-Based_Video_Streaming_through_DRL-Guided_Adaptive_Paci.url.txt
karagkioules2020online,manual,https://doi.org/10.1145/3339825.3397042,official_landing_or_possible_access_pdf,OfficialSources/manual_links/karagkioules2020online__Online_learning_for_low-latency_adaptive_streaming.url.txt
bentaleb2021catching,manual,https://doi.org/10.1109/TMM.2021.3079288,official_landing_or_possible_access_pdf,OfficialSources/manual_links/bentaleb2021catching__Catching_the_moment_with_LoL_in_twitch-like_low-latency_live_streaming_platform.url.txt
bentaleb2020performance,manual,https://doi.org/10.1145/3387921,official_landing_or_possible_access_pdf,OfficialSources/manual_links/bentaleb2020performance__Performance_Analysis_of_ACTE_A_Bandwidth_Prediction_Method_for_Low-Latency_Chun.url.txt
bentaleb2020towards,manual,,unresolved_needs_manual_verification,OfficialSources/manual_links/bentaleb2020towards__Towards_Bitrate_Adaptation_for_Low-Latency_HTTP_Adaptive_Streaming.url.txt
bentaleb2020data,manual,https://doi.org/10.1109/TMM.2020.3013387,official_landing_or_possible_access_pdf,OfficialSources/manual_links/bentaleb2020data__Data-Driven_Bandwidth_Prediction_Models_and_Automated_Model_Selection_for_Low_La.url.txt
bentaleb2023meta,manual,https://doi.org/10.1109/INFOCOM53939.2023.10228951,official_landing_or_possible_access_pdf,OfficialSources/manual_links/bentaleb2023meta__Meta_Reinforcement_Learning_for_Rate_Adaptation.url.txt
dashjs_throughput,manual,https://dashif.org/dash.js/pages/usage/abr/throughput-calculation.html,official_webpage_no_pdf,OfficialSources/manual_links/dashjs_throughput__Throughput_Calculation.url.txt
ietf-moq,manual,https://datatracker.ietf.org/group/moq/about/,official_webpage_no_pdf,OfficialSources/manual_links/ietf-moq__Media_Over_QUIC_MoQ.url.txt
hemminger2005network,manual,,unresolved_needs_manual_verification,OfficialSources/manual_links/hemminger2005network__Network_emulation_with_NetEm.url.txt
sodagar2011mpeg,manual,https://doi.org/10.1109/MMUL.2011.71,official_landing_or_possible_access_pdf,OfficialSources/manual_links/sodagar2011mpeg__The_mpeg-dash_standard_for_multimedia_streaming_over_the_internet.url.txt
pantos2017http,failed,https://www.rfc-editor.org/rfc/pdfrfc/rfc8216.txt.pdf,HTTP 404,
stockhammer2011dynamic,manual,https://doi.org/10.1145/1943552.1943572,official_landing_or_possible_access_pdf,OfficialSources/manual_links/stockhammer2011dynamic__Dynamic_Adaptive_Streaming_over_HTTP_Standards_and_Design_Principles.url.txt
huang2014buffer,manual,https://dl.acm.org/doi/10.1145/2740070.2626296,official_landing_or_possible_access_pdf,OfficialSources/manual_links/huang2014buffer__A_Buffer-Based_Approach_to_Rate_Adaptation_Evidence_from_a_Large_Video_Streamin.url.txt
jiang2012improving,manual,https://doi.org/10.1145/2413176.2413189,official_landing_or_possible_access_pdf,OfficialSources/manual_links/jiang2012improving__Improving_Fairness_Efficiency_and_Stability_in_HTTP-Based_Adaptive_Video_Strea.url.txt
yin2015control,manual,https://doi.org/10.1145/2785956.2787486,official_landing_or_possible_access_pdf,OfficialSources/manual_links/yin2015control__A_control-theoretic_approach_for_dynamic_adaptive_video_streaming_over_HTTP.url.txt
qin2019control,manual,https://ieeexplore.ieee.org/document/8765424/,official_landing_or_possible_access_pdf,OfficialSources/manual_links/qin2019control__A_control_theoretic_approach_to_ABR_video_streaming_A_fresh_look_at_PID-based_r.url.txt
spiteri2016bola,downloaded,https://arxiv.org/pdf/1601.06748,downloaded,OfficialSources/spiteri2016bola__BOLA_Near-Optimal_Bitrate_Adaptation_for_Online_Videos.pdf
kan2021uncertainty,manual,https://doi.org/10.1145/3458306.3458872,official_landing_or_possible_access_pdf,OfficialSources/manual_links/kan2021uncertainty__Uncertainty-Aware_Robust_Adaptive_Video_Streaming_with_Bayesian_Neural_Network_a.url.txt
cardwell2017bbr,manual,https://dl.acm.org/doi/10.1145/3009824,official_landing_or_possible_access_pdf,OfficialSources/manual_links/cardwell2017bbr__BBR_Congestion-based_congestion_control.url.txt
wen2022transformers,downloaded,https://arxiv.org/pdf/2202.07125,downloaded,OfficialSources/wen2022transformers__Transformers_in_Time_Series_A_Survey.pdf
zhou2021informer,downloaded,https://arxiv.org/pdf/2012.07436,downloaded,OfficialSources/zhou2021informer__Informer_Beyond_Efficient_Transformer_for_Long_Sequence_Time-Series_Forecasting.pdf
lai2023lightcts,manual,https://dl.acm.org/doi/10.1145/3589270,official_landing_or_possible_access_pdf,OfficialSources/manual_links/lai2023lightcts__LightCTS_A_Lightweight_Framework_for_Correlated_Time_Series_Forecasting.url.txt
li2023fleet,manual,https://ieeexplore.ieee.org/document/10041952/,official_landing_or_possible_access_pdf,OfficialSources/manual_links/li2023fleet__Fleet_Improving_Quality_of_Experience_for_Low-Latency_Live_Video_Streaming.url.txt
prokhorenkova2018catboost,downloaded,https://papers.neurips.cc/paper_files/paper/2018/file/14491b756b3a51daac41c24863285549-Paper.pdf,downloaded,OfficialSources/prokhorenkova2018catboost__CatBoost_Unbiased_Boosting_with_Categorical_Features.pdf
onnx,manual,https://doi.org/10.1145/3486001.3486243,official_landing_or_possible_access_pdf,OfficialSources/manual_links/onnx__A_Deep_Learning_Framework_for_Interoperable_Machine_Learning.url.txt
lumous,manual,https://doi.org/10.1007/978-3-030-15986-3_3,official_landing_or_possible_access_pdf,OfficialSources/manual_links/lumous__Realtime_Mobile_Bandwidth_Prediction_Using_LSTM_Neural_Network.url.txt
nyu,manual,https://doi.org/10.1145/3452296.3472923,official_landing_or_possible_access_pdf,OfficialSources/manual_links/nyu__A_Variegated_Look_at_5G_in_the_Wild_Performance_Power_and_QoE_Implications.url.txt
bigbuckbunny,manual,https://peach.blender.org/,official_webpage_no_pdf,OfficialSources/manual_links/bigbuckbunny__Big_Buck_Bunny.url.txt
bentaleb2016sdndash,manual,https://dl.acm.org/doi/10.1145/2964284.2964332,official_landing_or_possible_access_pdf,OfficialSources/manual_links/bentaleb2016sdndash__SDNDASH_Improving_QoE_of_HTTP_Adaptive_Streaming_Using_Software_Defined_Network.url.txt
warp2023,downloaded,https://www.ietf.org/archive/id/draft-lcurley-warp-04.html,downloaded,OfficialSources/warp2023__Warp_Live_Media_Transport_over_QUIC.html
rush2025,downloaded,https://www.ietf.org/archive/id/draft-kpugin-rush-03.html,downloaded,OfficialSources/rush2025__RUSH_Reliable_Unreliable_Streaming_Protocol.html
f1_canadian_gp_highlights_2025,manual,https://www.youtube.com/watch?v=93ZnZF_zWds,official_webpage_no_pdf,OfficialSources/manual_links/f1_canadian_gp_highlights_2025__Race_Highlights_2025_Canadian_Grand_Prix.url.txt
shirani2025bandwidth,manual,https://doi.org/10.1145/3715675.3715844,official_landing_or_possible_access_pdf,OfficialSources/manual_links/shirani2025bandwidth__Bandwidth_Prediction_for_Media_over_QUIC.url.txt
